Scientific name,Acronym,In modelling folder,Functional Group,Taxonomic Group,Phylum,Common name
Mytilus galloprovincialis,Mgal,Yes,Zoobenthos,Mollusca,Mollusca,Mediterranean Mussel
Magallana gigas,Mgig,Yes,Zoobenthos,Mollusca,Mollusca,Pacific oyster
Microspongium globosum,Mglo,Yes,Phytobenthos,Phaeophycea,Ochrophyta,Brown algae
Melanothamnus harveyi ,Mhar,Yes,Phytobenthos,Rhodophyta,Rhodophyta,Harvey's siphon weed
Mediopyxis helysia,Mhel,Yes,Phytobenthos,Ochrophyta,Ochrophyta,Microscopic algae
Monocorophium insidiosum,Mins,Yes,Zoobenthos,Amphipoda,Arthropoda,
Mnemiopsis leidyi,Mlei,Yes,Zooplankton,Ctenophora,Ctenophora,Warty comb jelly
Molgula manhattensis,Mman,Yes,Zoobenthos,Tunicata,Chordata,Sea Grapes
Membranipora membranacea,Mmem,Yes,Zoobenthos,Bryozoa,Bryozoa,Coffin box bryozoan
Mercenaria mercenaria,Mmer,Yes,Zoobenthos,Mollusca,Mollusca,American hard-shelled clam
Marenzellaria neglecta,Mneg,Yes,Zoobenthos,Polychaeta,Annelida,
Melita nitida,Mnit,Yes,Zoobenthos,Amphipoda,Arthropoda,
Macoma petalum,Mpet,Yes,Zoobenthos,Mollusca,Mollusca,Atlantic macoma
Monocorophium sextonae,Msex,Yes,Zoobenthos,Amphipoda,Arthropoda,
Mesopodopsis slabberi,Msla,Yes,Zooplankton,Mysida,Arthropoda,
Marenzelleria viridis,Mvir,Yes,Zoobenthos,Polychaeta,Annelida,Red-gilled mudworm
Nematostella vectensis,Nvec,Yes,Zoobenthos,Cnidaria,Cnidaria,Starlet anemone
Oithona davisae,Odav,Yes,Zooplankton,Copepoda,Arthropoda,
Ophiothrix koreana,Okor,Yes,Zoobenthos,Echinodermata,Echinodermata,
Opercularella lacerata,Olac,Yes,Zoobenthos,Cnidaria,Cnidaria,
Oblea rotunda,Orot,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Odontella sinensis,Osin,Yes,Phytoplankton,Ochrophyta ,Ochrophyta,Diatom
Potamopyrgus antipodarum,Pant,Yes,Zoobenthos,Mollusca,Mollusca,New Zealand mud snail
Penilia avirostris,Pavi,Yes,Zooplankton,Diplostraca,Arthropoda,
Parapontella brevicornis,Pbre,Yes,Zooplankton,Copepoda,Arthropoda,
Paralithodes camtschacticus,Pcam,Yes,Zoobenthos,Decapoda,Arthropoda,Red King Crab
Polydora cornuta,Puta,Yes,Zoobenthos,Polychaeta,Annelida,Whip mudworm
Palaemon elegans,Pele,Yes,Zooplankton,Malacostraca,Arthropoda,Rockpool shrimp
Protoperidinium excentricum,Pexc,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Polycarpa fibrosa,Pfib,Yes,Zoobenthos,Tunicata,Chordata,Sea squirt
Proboscidactyla flavicirrata,Pfla,Yes,Zoobenthos,Cnidaria,Cnidaria,
Platichthys flesus,Ples,Yes,Fish,Teleostei,Chordata,European Flounder
Praunus flexuosus,Plex,YES,Zoobenthos,Malacostraca,Arthropoda,
Perophora japonica,Pjap,Yes,Zoobenthos,Tunicata,Chordata,Colonial sea squirt
Pseudopolydora cf. kempi,Pkem,Yes,Zoobenthos,Polychaeta,Annelida,Spionid worm
Protoperidinium leonis,Pleo,Yes,Phytoplankton,Dinoflagellate ,Myzozoa,
Podon leuckartii,Ptii,Yes,Zooplankton,Diplostraca,Arthropoda,
